participant,name,roll,email,exp_type_1,exp_type_2,exp_type_3,exp_type_4,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.21165384-16a1-41cc-b853-499d64981ec5.txt,5427,5971,7034,"","","","",4248,2020-04-17-06-52,"",""
s.fda4e5fc-8b47-4693-bae5-7deb9a7b7670.txt,3903,2646,1983,"","","","",3119,2020-04-16-14-27,"",""
s.7150ec83-3e7c-40bf-9a10-d1eeb43334ac.txt,8305,8435,23953,"","","","",35192,2020-04-16-14-51,"",""
s.26339d1f-c02b-44fd-b65e-8f59195fa14e.txt,6463,10581,14081,"","","","",7572,2020-04-16-18-54,"",""
s.3936ad35-a51f-4b58-adf3-c251f6b58181.txt,25953,9002,19863,"","","","",27588,2020-04-17-05-50,2020-04-17-06-08,18
s.156340ef-5de2-435c-9408-1412489cee11.txt,3598,649,195,"","","","",9349,2020-04-17-05-50,"",""
s.1f427dea-9e08-45ef-a557-ab558c062752.txt,"","","","","","","",14399,2020-04-16-13-59,"",""
s.63022e34-7c9e-4eed-be58-af33d21d61cd.txt,8314,5117,10836,"","","","",61573,2020-04-16-15-08,"",""
s.bb0d1e39-9868-4b9f-88e6-1eec99f79001.txt,12039,10592,13522,"","","","",14721,2020-04-16-14-37,"",""
